"Variable Name" "Variable Label"
"Subject" "Subject"
"Activity" "Activity"
"tBodyAcc-mean()-X" "Body Acceleration (Time) Mean X Axis"
"tBodyAcc-mean()-Y" "Body Acceleration (Time) Mean Y Axis"
"tBodyAcc-mean()-Z" "Body Acceleration (Time) Mean Z Axis"
"tBodyAcc-std()-X" "Body Acceleration (Time) Standard Deviation X Axis"
"tBodyAcc-std()-Y" "Body Acceleration (Time) Standard Deviation Y Axis"
"tBodyAcc-std()-Z" "Body Acceleration (Time) Standard Deviation Z Axis"
"tGravityAcc-mean()-X" "Gravity Acceleration (Time) Mean X Axis"
"tGravityAcc-mean()-Y" "Gravity Acceleration (Time) Mean Y Axis"
"tGravityAcc-mean()-Z" "Gravity Acceleration (Time) Mean Z Axis"
"tGravityAcc-std()-X" "Gravity Acceleration (Time) Standard Deviation X Axis"
"tGravityAcc-std()-Y" "Gravity Acceleration (Time) Standard Deviation Y Axis"
"tGravityAcc-std()-Z" "Gravity Acceleration (Time) Standard Deviation Z Axis"
"tBodyAccJerk-mean()-X" "Body Acceleration (Time) Jerk Mean X Axis"
"tBodyAccJerk-mean()-Y" "Body Acceleration (Time) Jerk Mean Y Axis"
"tBodyAccJerk-mean()-Z" "Body Acceleration (Time) Jerk Mean Z Axis"
"tBodyAccJerk-std()-X" "Body Acceleration (Time) Jerk Standard Deviation X Axis"
"tBodyAccJerk-std()-Y" "Body Acceleration (Time) Jerk Standard Deviation Y Axis"
"tBodyAccJerk-std()-Z" "Body Acceleration (Time) Jerk Standard Deviation Z Axis"
"tBodyGyro-mean()-X" "Angular Velocity (Time) Mean X Axis"
"tBodyGyro-mean()-Y" "Angular Velocity (Time) Mean Y Axis"
"tBodyGyro-mean()-Z" "Angular Velocity (Time) Mean Z Axis"
"tBodyGyro-std()-X" "Angular Velocity (Time) Standard Deviation X Axis"
"tBodyGyro-std()-Y" "Angular Velocity (Time) Standard Deviation Y Axis"
"tBodyGyro-std()-Z" "Angular Velocity (Time) Standard Deviation Z Axis"
"tBodyGyroJerk-mean()-X" "Angular Velocity (Time) Jerk Mean X Axis"
"tBodyGyroJerk-mean()-Y" "Angular Velocity (Time) Jerk Mean Y Axis"
"tBodyGyroJerk-mean()-Z" "Angular Velocity (Time) Jerk Mean Z Axis"
"tBodyGyroJerk-std()-X" "Angular Velocity (Time) Jerk Standard Deviation X Axis"
"tBodyGyroJerk-std()-Y" "Angular Velocity (Time) Jerk Standard Deviation Y Axis"
"tBodyGyroJerk-std()-Z" "Angular Velocity (Time) Jerk Standard Deviation Z Axis"
"tBodyAccMag-mean()" "Body Acceleration (Time) Magnitude Mean "
"tBodyAccMag-std()" "Body Acceleration (Time) Magnitude Standard Deviation "
"tGravityAccMag-mean()" "Gravity Acceleration (Time) Magnitude Mean "
"tGravityAccMag-std()" "Gravity Acceleration (Time) Magnitude Standard Deviation "
"tBodyAccJerkMag-mean()" "Body Acceleration (Time) Jerk Magnitude Mean "
"tBodyAccJerkMag-std()" "Body Acceleration (Time) Jerk Magnitude Standard Deviation "
"tBodyGyroMag-mean()" "Angular Velocity (Time) Magnitude Mean "
"tBodyGyroMag-std()" "Angular Velocity (Time) Magnitude Standard Deviation "
"tBodyGyroJerkMag-mean()" "Angular Velocity (Time) Jerk Magnitude Mean "
"tBodyGyroJerkMag-std()" "Angular Velocity (Time) Jerk Magnitude Standard Deviation "
"fBodyAcc-mean()-X" "Body Acceleration (Frequency) Mean X Axis"
"fBodyAcc-mean()-Y" "Body Acceleration (Frequency) Mean Y Axis"
"fBodyAcc-mean()-Z" "Body Acceleration (Frequency) Mean Z Axis"
"fBodyAcc-std()-X" "Body Acceleration (Frequency) Standard Deviation X Axis"
"fBodyAcc-std()-Y" "Body Acceleration (Frequency) Standard Deviation Y Axis"
"fBodyAcc-std()-Z" "Body Acceleration (Frequency) Standard Deviation Z Axis"
"fBodyAccJerk-mean()-X" "Body Acceleration (Frequency) Jerk Mean X Axis"
"fBodyAccJerk-mean()-Y" "Body Acceleration (Frequency) Jerk Mean Y Axis"
"fBodyAccJerk-mean()-Z" "Body Acceleration (Frequency) Jerk Mean Z Axis"
"fBodyAccJerk-std()-X" "Body Acceleration (Frequency) Jerk Standard Deviation X Axis"
"fBodyAccJerk-std()-Y" "Body Acceleration (Frequency) Jerk Standard Deviation Y Axis"
"fBodyAccJerk-std()-Z" "Body Acceleration (Frequency) Jerk Standard Deviation Z Axis"
"fBodyGyro-mean()-X" "Angular Velocity (Frequency) Mean X Axis"
"fBodyGyro-mean()-Y" "Angular Velocity (Frequency) Mean Y Axis"
"fBodyGyro-mean()-Z" "Angular Velocity (Frequency) Mean Z Axis"
"fBodyGyro-std()-X" "Angular Velocity (Frequency) Standard Deviation X Axis"
"fBodyGyro-std()-Y" "Angular Velocity (Frequency) Standard Deviation Y Axis"
"fBodyGyro-std()-Z" "Angular Velocity (Frequency) Standard Deviation Z Axis"
"fBodyAccMag-mean()" "Body Acceleration (Frequency) Magnitude Mean "
"fBodyAccMag-std()" "Body Acceleration (Frequency) Magnitude Standard Deviation "
"fBodyBodyAccJerkMag-mean()" "Body Acceleration (Frequency) Jerk Magnitude Mean "
"fBodyBodyAccJerkMag-std()" "Body Acceleration (Frequency) Jerk Magnitude Standard Deviation "
"fBodyBodyGyroMag-mean()" "Angular Velocity (Frequency) Magnitude Mean "
"fBodyBodyGyroMag-std()" "Angular Velocity (Frequency) Magnitude Standard Deviation "
"fBodyBodyGyroJerkMag-mean()" "Angular Velocity (Frequency) Jerk Magnitude Mean "
"fBodyBodyGyroJerkMag-std()" "Angular Velocity (Frequency) Jerk Magnitude Standard Deviation "
